"last_name, first_name","player_id","year","p_formatted_ip","pa","hit","home_run","strikeout","walk","k_percent","bb_percent","on_base_percent","babip","p_era","p_hit_by_pitch","poorlyweak_percent","hard_hit_percent","whiff_percent","groundballs_percent","flyballs_percent","linedrives_percent","popups_percent","n","n_fastball_formatted","n_breaking_formatted","n_offspeed_formatted"
"Brebbia, John",605154,2024,"55.1",242,56,11,67,19,27.7,7.9,".322",".317","5.86","3",3.9,37.3,25.5,29.4,33.3,29.4,7.8,"994","47.9","51.8","0.3"
"Varland, Gus",681402,2024,"26.1",115,30,2,27,8,23.5,7,".339",".364","3.42","1",1.3,39.2,24.5,38,29.1,29.1,3.8,"455","56.7","38.2","5.1"
"Curry, Xzavion",675540,2024,"42.2",172,38,8,28,7,16.3,4.1,".262",".233","4.64","0",2.9,43.1,21.1,23.4,43.1,23.4,10.2,"639","49.5","48.4","2.2"
"Rodón, Carlos",607074,2024,"175.0",736,157,31,195,57,26.5,7.7,".304",".284","3.96","10",3,40.9,30.1,34.6,35.4,21.9,8,"3102","52.9","34.2","12.9"
"Anderson, Grant",681982,2024,"26.2",120,33,11,29,10,24.2,8.3,".367",".319","8.10","1",5,41.3,25.7,40,30,18.8,11.3,"483","51.6","41","7.5"
"Martinez, Justin",679885,2024,"72.2",308,59,2,91,36,29.5,11.7,".316",".324","2.48","2",7.8,31.8,34.5,60.3,12.8,23.5,3.4,"1177","56.6","21.6","21.8"
"López, Pablo",641154,2024,"185.1",772,180,26,198,41,25.6,5.3,".298",".311","4.08","8",5,37.5,27,44,26.6,24.9,4.6,"2986","48.1","31.8","20.1"
"Lee, Dylan",669276,2024,"59.2",240,49,7,76,17,31.7,7.1,".276",".302","2.11","0",6.8,32,37.7,36.1,33.3,26.5,4.1,"859","33.2","54.7","12.1"
"García, Yimi",554340,2024,"39.0",153,23,6,49,12,32,7.8,".243",".205","3.46","2",7.8,34.4,29,30,37.8,18.9,13.3,"619","53.2","37.3","9.5"
"Thorpe, Drew",689672,2024,"44.1",190,35,8,25,21,13.2,11.1,".302",".201","5.48","1",7,37.3,23.9,36.6,29.6,22.5,11.3,"721","46","18.4","35.5"
"Burnes, Corbin",669203,2024,"194.1",784,165,22,181,48,23.1,6.1,".274",".269","2.92","2",4.2,31.6,28.6,48.8,22.4,19.9,8.9,"2995","52.8","36.2","11.1"
"Rogers, Tyler",643511,2024,"70.1",290,67,7,51,6,17.6,2.1,".278",".276","2.82","7",6.2,31.1,18.6,56,19.1,16.4,8.4,"1002","64.5","35.5",
"Kremer, Dean",665152,2024,"129.2",553,110,18,123,51,22.2,9.2,".297",".258","4.10","3",4.8,35.4,23.3,42.3,29.3,18.6,9.8,"2171","70.1","11.4","18.5"
"Phillips, Tyler",663969,2024,"36.2",160,45,9,28,7,17.5,4.4,".338",".316","6.87","2",3.3,40.7,21.7,42.3,23.6,26.8,7.3,"578","49.5","43.6","6.9"
"Blach, Ty",621389,2024,"71.1",330,103,17,36,18,10.9,5.5,".387",".343","6.94","6",4.8,42.6,14.8,41.5,30.4,24.8,3.3,"1133","64.6","11","24.4"
"Kerkering, Orion",689147,2024,"63.0",257,51,2,74,17,28.8,6.6,".297",".316","2.29","8",5.7,33.5,27.8,54.4,18.4,24.7,2.5,"1087","44.3","55.7",
"Arrighetti, Spencer",681293,2024,"145.0",632,139,21,171,65,27.1,10.3,".334",".321","4.53","7",3.6,39.8,27.7,36.2,27.2,28.3,8.2,"2505","60.6","30.8","8.6"
"Smith, Will",519293,2024,"41.1",186,45,7,29,15,15.6,8.1,".342",".292","6.53","3",6.5,30.9,23.7,30.9,32.4,29.5,7.2,"673","29","56.5","14.6"
"Morton, Charlie",450203,2024,"165.1",701,154,23,167,65,23.8,9.3,".339",".307","4.19","18",5.1,38.4,26.1,47.2,23.3,25.5,4,"2791","46.6","42.4","11"
"Ottavino, Adam",493603,2024,"56.0",245,49,6,70,23,28.6,9.4,".324",".312","4.34","7",9,34.7,25.7,44.4,23.6,22.2,9.7,"1003","54.4","40.6","5"
"Fairbanks, Pete",664126,2024,"45.1",185,36,4,44,17,23.8,9.2,".288",".269","3.57","0",3.2,41.1,21.8,42.7,25.8,22.6,8.9,"696","52.2","44.8","3"
"Long, Sam",669674,2024,"42.2",176,34,5,44,17,25,9.7,".297",".269","3.16","1",5.3,33.3,27.8,44.7,32.5,17.5,5.3,"702","38.5","53","8.5"
"Woodford, Jake",663765,2024,"35.0",167,48,6,26,9,15.6,5.4,".359",".341","7.97","3",3.9,39.5,14,37.2,29.5,28.7,4.7,"618","66.8","28.2","5"
"Chavez, Jesse",445926,2024,"63.1",264,60,10,55,19,20.8,7.2,".304",".281","3.13","1",3.7,35.4,17,43.4,27.5,25.9,3.2,"1044","78","8.6","13.4"
