"last_name, first_name","player_id","year","p_formatted_ip","pa","hit","home_run","strikeout","walk","k_percent","bb_percent","on_base_percent","babip","p_era","p_hit_by_pitch","poorlyweak_percent","hard_hit_percent","whiff_percent","groundballs_percent","flyballs_percent","linedrives_percent","popups_percent","n","n_fastball_formatted","n_breaking_formatted","n_offspeed_formatted"
"Faedo, Alex",656412,2024,"57.1",246,49,9,55,28,22.4,11.4,".328",".268","3.61","3",5.6,34.4,31.1,39.4,28.1,26.9,5.6,"1007","40.5","39.6","19.9"
"Valdez, Framber",664285,2024,"176.1",703,140,13,169,55,24,7.8,".287",".277","2.91","6",4.9,45,27.2,61.7,15,21.8,1.5,"2598","46.9","35.6","17.5"
"Cruz, Fernando",518585,2024,"66.2",288,54,9,109,35,37.8,12.2,".314",".338","4.86","1",5.6,44.1,38.2,35.7,26.6,30.1,7.7,"1138","58.1",,"41.9"
"Boyd, Matthew",571510,2024,"39.2",166,32,4,46,13,27.7,7.8,".283",".277","2.72","2",1.9,38.1,29.7,33.3,29.5,26.7,10.5,"669","48.4","25.4","26.2"
"Finnegan, Kyle",640448,2024,"63.2",271,61,9,60,24,22.1,8.9,".315",".294","3.68","0",3.2,48.1,23.1,46.5,24.6,25.7,3.2,"1067","67.6","5.6","26.8"
"Bradley, Taj",671737,2024,"138.0",578,122,22,154,47,26.6,8.1,".300",".287","4.11","3",3.2,42.9,27.4,42.1,27.9,23.6,6.4,"2294","64.2","8.9","26.9"
"Swanson, Erik",657024,2024,"39.1",168,36,11,37,14,22,8.3,".304",".238","5.03","1",2.6,50,23.5,41.4,26.7,24.1,7.8,"666","49.8","19.2","30.9"
"Scott, Tanner",656945,2024,"72.0",294,45,3,84,36,28.6,12.2,".285",".256","1.75","1",13.5,27.5,32.7,52,18.1,21.6,8.2,"1163","59.2","40.7","0.1"
"Hjelle, Sean",663546,2024,"80.2",337,84,10,75,14,22.3,4.2,".308",".322","3.90","5",4.9,37.4,21.4,59.3,16.9,21,2.9,"1209","65.6","34.4",
"Yamamoto, Yoshinobu",808967,2024,"90.0",368,78,7,105,22,28.5,6,".275",".306","3.00","1",5.4,41.3,27,48.3,20,27.9,3.8,"1469","49.4","26.5","24.2"
"Verlander, Justin",434378,2024,"90.1",396,98,15,74,27,18.7,6.8,".331",".303","5.48","6",3.5,32.5,21.3,28.7,31.8,27.7,11.8,"1580","48.7","41.2","10.1"
"Bird, Jake",656234,2024,"40.0",185,43,5,31,25,16.8,13.5,".391",".319","4.50","4",7.2,41.6,22.2,47.2,29.6,20,3.2,"684","52.3","47.4","0.3"
"Ortiz, Luis",682847,2024,"135.2",556,109,16,107,42,19.2,7.6,".288",".243","3.32","9",2.8,37.7,21,39.9,30.7,21.9,7.5,"2143","72.2","26.8","0.9"
"Hancock, Emerson",676106,2024,"60.2",266,62,12,39,19,14.7,7.1,".327",".263","4.75","6",4,46,21.9,35.6,28.7,27.7,7.9,"1014","68.3","10.6","21.1"
"Phillips, Evan",623465,2024,"54.2",228,48,6,63,17,27.6,7.5,".291",".300","3.62","1",6.8,32.7,27.7,40.1,32.7,21.1,6.1,"917","61.4","38.6",
"Vest, Will",676684,2024,"70.1",289,61,3,63,18,21.8,6.2,".285",".289","2.82","3",4.4,38,24.3,48.3,21.5,26.8,3.4,"1162","68.6","21.6","9.8"
"Montas, Frankie",593423,2024,"150.2",655,140,24,148,66,22.6,10.1,".325",".284","4.84","6",4.4,43.1,24.9,41.2,25.1,26.5,7.1,"2633","71","10.7","18.3"
"McCaughan, Darren",670766,2024,"42.0",195,53,9,28,15,14.4,7.7,".379",".321","6.21","6",6.2,39,15.5,35.6,35.6,21.9,6.8,"714","51","38","11.1"
"Leasure, Jordan",673929,2024,"31.1",142,32,6,26,18,18.3,12.7,".362",".289","6.32","1",4.1,35.1,26.6,37.1,29.9,21.6,11.3,"560","59.8","40.2",
"Keller, Brad",641745,2024,"41.1",192,48,9,32,15,16.7,7.8,".339",".291","5.44","2",4.9,39.2,21.1,49.7,25.2,19.6,5.6,"743","42.7","44.3","13.1"
"Rodriguez, Yariel",684320,2024,"86.2",368,74,11,85,40,23.1,10.9,".319",".276","4.47","3",5.9,37.2,25.7,38.5,31.4,20.1,10,"1501","51.8","38.7","9.5"
"Bednar, David",670280,2024,"57.2",262,54,9,58,28,22.1,10.7,".327",".278","5.77","3",2.3,39.5,27.6,36.6,30.2,22.1,11,"1023","55.5","20.4","24"
"Thielbar, Caleb",573204,2024,"47.1",216,50,6,53,24,24.5,11.1,".344",".333","5.32","0",3.6,33.8,24.7,39.6,27.3,23,10.1,"887","43.4","56.6",
"Tinoco, Jesus",622786,2024,"40.2",162,27,3,42,12,25.9,7.4,".259",".235","3.32","3",3.8,33.3,26.4,45.7,25.7,18.1,10.5,"644","43.9","52.3","3.7"
"Gibson, Kyle",502043,2024,"169.2",722,161,23,151,68,20.9,9.4,".324",".292","4.24","4",5,39.1,25.9,44.5,25.5,24.2,5.8,"2764","60.7","29.3","9.9"
"Hill, Tim",657612,2024,"67.0",290,77,2,31,19,10.7,6.6,".339",".319","3.36","2",7.1,40.8,12.8,68.1,11.8,18.5,1.7,"982","94.8","5.2",
"Bielak, Brandon",656232,2024,"29.2",140,39,5,14,13,10,9.3,".386",".321","5.16","2",2.7,38.7,17.2,38.7,28.8,27,5.4,"510","47.5","25.1","27.5"
"Herz, DJ",687792,2024,"88.2",382,76,11,106,36,27.7,9.4,".303",".290","4.16","3",5.1,34.7,29.3,36.9,31.4,24.2,7.6,"1586","54.2","21.2","24.5"
"Littell, Zack",641793,2024,"156.1",656,164,22,141,31,21.5,4.7,".306",".312","3.63","5",3.8,39.2,23.1,34.1,27.8,28.2,9.8,"2485","36.9","39.9","23.2"
"Pfaadt, Brandon",694297,2024,"181.2",760,183,24,185,42,24.3,5.5,".302",".316","4.71","4",2.8,39.4,25.4,42.2,28.8,22.9,6.1,"2792","55.6","32.6","11.8"
"De Los Santos, Enyel",660853,2024,"64.0",278,65,17,66,25,23.7,9,".342",".291","5.20","5",4.9,42.3,29.3,35.7,31.3,22,11,"1127","49.4","42.9","7.6"
"Alvarado, José",621237,2024,"61.2",258,49,6,63,28,24.4,10.9,".302",".269","4.09","1",4.2,41,28.4,45.8,20.5,24.7,9,"1052","99.7","0.3",
"Festa, Matt",670036,2024,"23.2",100,21,2,24,8,24,8,".300",".292","5.70","1",9,34.3,26.2,26.9,28.4,26.9,17.9,"385","66.5","33.2","0.3"
"Brooks, Aaron",605156,2024,"26.2",119,33,4,12,8,10.1,6.7,".353",".309","5.06","1",3.1,48,19.9,49,27.6,21.4,2,"403","52.4","34.2","13.4"
"Myers, Tobias",668964,2024,"138.0",569,126,18,127,36,22.3,6.3,".295",".284","3.00","5",4.5,38.7,21.3,37.7,25.2,28.4,8.7,"2152","63.5","25.1","11.4"
"Holmes, Grant",656550,2024,"68.1",282,66,7,70,15,24.8,5.3,".294",".314","3.56","2",2.6,38.5,32.4,44.1,27.2,22.6,6.2,"1024","45.5","53.3","1.2"
"Latz, Jacob",656641,2024,"43.2",192,39,6,40,27,20.8,14.1,".349",".280","3.71","1",8.1,40.3,28.3,35.5,27.4,24.2,12.9,"813","49.4","27.9","22.6"
"Sammons, Bryan",676614,2024,"27.1",104,16,6,18,9,17.3,8.7,".250",".143","3.62","1",2.6,31.6,23.3,21.1,46.1,21.1,11.8,"374","64.7","27","8.3"
"Thornton, Trent",663423,2024,"72.1",294,63,8,77,19,26.2,6.5,".299",".302","3.61","5",7.8,37.3,27.3,39.4,27.5,24.9,8.3,"1139","33.6","63.9","2.5"
"Hernández, Jonathan",642546,2024,"43.1",192,41,6,39,28,20.3,14.6,".366",".299","5.40","1",3.2,39.5,30.1,49.2,25,24.2,1.6,"761","38.9","49.3","11.8"
"Chargois, JT",608638,2024,"36.1",146,24,6,30,13,20.5,8.9,".267",".189","2.23","2",3,41.6,23.7,38.6,26.7,26.7,7.9,"529","56.5","43.1","0.4"
"Miller, Bryce",682243,2024,"180.1",704,131,21,171,45,24.3,6.4,".254",".237","2.94","3",2.3,41.2,24.4,38.6,33,21.2,7.2,"2749","61.7","21.3","17.1"
"Estes, Joey",683155,2024,"127.2",543,130,23,92,27,16.9,5,".308",".274","5.01","10",3.4,39.6,19.2,24.9,35,25.8,14.3,"2027","55.7","33.2","11.1"
"Bellozo, Valente",678368,2024,"68.2",295,69,15,44,21,14.9,7.1,".312",".254","3.67","2",5.3,42.1,19.5,29.8,33.3,22.8,14,"1094","62.7","22.9","14.4"
"Wood, Alex",622072,2024,"39.1",186,51,6,33,19,17.7,10.2,".408",".372","5.26","5",4.7,48.8,20.7,38,24.8,31,6.2,"756","46.2","31.5","22.4"
"Eflin, Zach",621107,2024,"165.1",684,166,22,134,24,19.6,3.5,".283",".288","3.59","3",5.9,36.1,21.6,43.4,26.4,22.6,7.6,"2447","65.5","28.5","6"
"Diekman, Jake",518617,2024,"32.0",145,23,7,40,24,27.6,16.6,".354",".232","5.63","4",6.5,39,28.7,45.5,23.4,24.7,6.5,"627","61.4","28.9","9.7"
"Luzardo, Jesús",666200,2024,"66.2",274,61,9,58,22,21.2,8,".311",".286","5.00","2",3.6,41.1,29.6,38.5,33.3,23.4,4.7,"1083","47.7","29.4","22.9"
"Blalock, Bradley",687134,2024,"30.2",147,35,4,20,20,13.6,13.6,".381",".304","5.87","1",2.8,47.2,20.6,35.8,27.4,31.1,5.7,"551","51.4","32.7","16"
"Kelly, Michael",547184,2024,"31.1",128,27,2,22,10,17.2,7.8,".315",".278","2.59","3",7.5,20.4,22.3,39.8,33.3,19.4,7.5,"470","32.8","67.2",
"Stripling, Ross",548389,2024,"85.1",381,109,7,49,22,12.9,5.8,".347",".339","6.01","1",3.6,35.3,16.9,40.8,23.3,27.8,8.1,"1358","60.4","22","17.6"
"Bassitt, Chris",605135,2024,"171.0",758,180,18,168,70,22.2,9.2,".352",".335","4.16","16",6.2,37.1,21.7,40.9,25,26.8,7.3,"2959","64.9","25.5","9.6"
"Rainey, Tanner",663432,2024,"51.0",231,47,8,44,29,19,12.6,".346",".267","4.76","4",1.3,42.9,26,28.6,39.6,19.5,12.3,"939","70.9","27.7","1.4"
"Elder, Bryce",693821,2024,"49.2",226,64,8,46,17,20.4,7.5,".367",".366","6.52","2",2.5,45.3,25.5,49.7,23.6,23,3.7,"864","55.3","31.4","13.3"
"Cease, Dylan",656302,2024,"189.1",762,137,18,224,65,29.4,8.5,".269",".266","3.47","2",5.3,38.6,32.4,40.3,30.7,22.4,6.6,"3188","44.1","55","0.9"
"Suárez, Albert",544150,2024,"133.2",565,130,17,108,43,19.1,7.6,".314",".290","3.70","3",4.4,38.4,24.6,35.5,31.6,25.5,7.3,"2233","69.5","13.3","17.2"
"Leahy, Kyle",681517,2024,"48.2",191,40,4,33,10,17.3,5.2,".267",".252","4.07","1",2.7,43.5,22.3,40.8,29.3,22.4,7.5,"695","44.3","46.5","9.2"
"Matthews, Zebby",805673,2024,"37.2",177,51,11,43,11,24.3,6.2,".362",".364","6.69","2",0.8,42.1,24,38,29.8,23.1,9.1,"717","59","33.1","7.9"
"Holderman, Colin",670059,2024,"51.1",223,42,6,56,25,25.1,11.2,".324",".277","3.16","5",5.8,38,29.5,40.1,24.1,24.8,10.9,"869","52.2","47.8",
"Jax, Griffin",643377,2024,"71.0",276,47,4,95,15,34.4,5.4,".234",".272","2.03","2",6.7,38.7,37.8,52.1,23.9,17.8,6.1,"1068","39.7","43.6","16.7"
"Criswell, Cooper",681867,2024,"99.1",424,103,10,73,31,17.2,7.3,".333",".308","4.08","7",3.8,37.4,17.2,49.5,23.3,22.4,4.8,"1756","45.1","28.8","26.1"
"Sandoval, Patrick",663776,2024,"79.2",353,85,8,81,35,22.9,9.9,".349",".342","5.08","3",3.8,36.3,26.5,45.7,23.9,26.1,4.3,"1444","33.4","38.3","28.3"
"Faucher, Calvin",676534,2024,"53.2",235,49,0,63,26,26.8,11.1,".339",".350","3.19","4",3.5,39.4,28.1,46.5,24.6,26.1,2.8,"987","71.1","28.9",
"Medina, Luis",665622,2024,"40.0",180,43,4,32,20,17.8,11.1,".356",".317","5.18","1",2.4,44.9,19.2,38.6,27.6,25.2,8.7,"720","56.8","35.3","7.9"
"Suarez, Robert",663158,2024,"65.0",258,52,7,59,16,22.9,6.2,".265",".257","2.77","0",5.5,40.4,24.3,42.1,26.8,20.8,10.4,"977","87.4",,"12.6"
"Freeland, Kyle",607536,2024,"113.1",490,134,22,85,26,17.3,5.3,".329",".315","5.24","1",3.7,40.7,17.1,40.2,24.6,27,8.2,"1769","45.3","41.7","13"
"Cronin, Declan",686539,2024,"70.1",307,75,1,72,26,23.5,8.5,".346",".366","4.35","5",3.4,41.7,26.6,58.3,19.1,20.6,2,"1096","47.8","52.2",
"Neris, Héctor",593576,2024,"59.1",260,55,8,64,28,24.6,10.8,".331",".303","4.10","2",7.9,40.6,25.9,41.2,30.3,23,5.5,"1008","56.2","3.5","40.4"
"Koenig, Jared",657649,2024,"62.0",265,54,4,63,23,23.8,8.7,".308",".296","2.47","4",5.7,35.6,22.4,47.7,24.7,19.5,8,"1017","83","13.1","3.9"
"Little, Brendon",663893,2024,"45.2",193,41,7,36,19,18.7,9.8,".318",".264","3.74","1",5.8,38,29.7,72.3,10.9,14.6,2.2,"696","68.2","31.8",
"Erceg, Lucas",668674,2024,"61.2",253,49,3,72,16,28.5,6.3,".281",".295","3.36","6",3.8,33.3,31,46.5,24.5,24.5,4.4,"947","52.3","27.9","19.9"
"Megill, Trevor",656730,2024,"46.1",183,33,4,50,14,27.3,7.7,".264",".257","2.72","1",1.7,42.4,29.7,34.7,35.6,22.9,6.8,"668","71.6","28.4",
"Santana, Dennis",642701,2024,"71.2",287,57,4,69,21,24,7.3,".287",".282","3.89","4",5.2,32.6,28.2,38.3,28.5,26.4,6.7,"1106","58.8","32.8","8.4"
"Bradish, Kyle",680694,2024,"39.1",163,27,2,53,15,32.5,9.2,".278",".281","2.75","3",7.7,28.6,26.9,56,16.5,18.7,9.9,"674","53","47",
"Martinez, Nick",607259,2024,"142.1",570,128,13,116,18,20.4,3.2,".267",".278","3.10","5",7.9,30.5,23.1,37.7,27.9,24.9,9.5,"2125","60.3","18","21.6"
"Sewald, Paul",623149,2024,"39.2",165,35,6,43,10,26.1,6.1,".291",".282","4.31","3",0.9,42.2,24.4,26.6,34.9,24.8,13.8,"629","59.8","39.6","0.6"
"Bowman, Matt",621199,2024,"30.2",132,26,5,24,13,18.2,9.8,".311",".239","4.40","2",5.4,40.9,18.6,44.1,26.9,25.8,3.2,"497","59","26","15.1"
"Irvin, Cole",608344,2024,"111.0",492,132,18,78,29,15.9,5.9,".340",".317","5.11","6",3.4,40.9,17,40.1,29,25.3,5.5,"1767","57.3","29.3","13.4"
"Anderson, Justin",605121,2024,"53.1",243,48,5,57,33,23.5,13.6,".347",".299","4.39","3",8.7,35.3,29.7,38,32,24,6,"945","54.7","45.3",
"Mayza, Tim",641835,2024,"42.2",195,54,5,28,15,14.4,7.7,".359",".336","6.33","1",5.3,38.4,17.5,46.4,24.5,27.2,2,"731","74.4","25.6",
"Jackson, Luke",592426,2024,"53.0",235,52,7,59,26,25.1,11.1,".342",".321","5.09","2",4.1,39.9,29.7,51.4,25,20.9,2.7,"917","32.6","67.4",
"Feltner, Ryan",663372,2024,"162.1",692,165,20,138,52,19.9,7.5,".324",".306","4.49","7",5.3,36.8,23.9,44.4,25.7,24.8,5.1,"2577","49.7","35.6","14.7"
"Lively, Ben",594902,2024,"151.0",632,139,23,118,49,18.7,7.8,".305",".265","3.81","5",2.6,41.5,18.6,42.6,28.3,21.1,8,"2406","60.4","30.5","9.1"
"Quantrill, Cal",615698,2024,"148.1",656,156,23,110,69,16.8,10.5,".361",".302","4.98","11",5.6,41.2,21.6,44.4,24.2,26,5.4,"2643","53.2","12.4","34.4"
"Díaz, Alexis",664747,2024,"56.1",242,42,6,55,31,22.7,12.8,".326",".250","3.99","6",4.7,38,26.6,32.7,28,22.7,16.7,"977","57.9","42.1",
"Skubal, Tarik",669373,2024,"192.0",753,142,15,228,35,30.3,4.6,".247",".273","2.39","9",4.2,33.9,31.9,46.4,24.7,21.8,7.1,"2838","53.7","19.1","27.1"
"Okert, Steven",595345,2024,"35.1",160,37,6,33,16,20.6,10,".352",".307","5.09","3",7.4,29.6,23.6,32.4,25,25.9,16.7,"616","32.8","59.3","8"
"Miller, Shelby",571946,2024,"55.2",225,41,9,49,13,21.8,5.8,".262",".215","4.53","5",1.9,41.1,24.3,40.5,30.4,20.3,8.9,"850","60.8","20.4","18.8"
"Festa, David",701581,2024,"64.1",277,62,9,77,23,27.8,8.3,".314",".319","4.90","2",4,38.9,28.4,36.6,25.1,29.7,8.6,"1099","40.2","31.8","28"
"Chivilli, Angel",683409,2024,"31.2",133,31,7,28,10,21.1,7.5,".316",".276","4.55","1",3.2,46.8,36.9,48.9,23.4,22.3,5.3,"512","41.6","18.2","40.2"
"Smith, Cade",671922,2024,"75.1",289,51,1,103,17,35.6,5.9,".246",".303","1.91","3",3,42.8,30.2,44.6,21.7,25.3,8.4,"1166","69.1","10.2","20.7"
"Walker, Taijuan",592836,2024,"83.2",381,107,24,58,37,15.2,9.7,".386",".320","7.10","3",3.5,46.3,16.7,37.5,27.2,28.3,7.1,"1435","49.3","28.6","22.1"
"Rosenberg, Kenny",670046,2024,"24.0",104,28,5,17,8,16.3,7.7,".346",".311","6.00","0",2.5,38,22.2,36.7,27.8,25.3,10.1,"403","62.3","5","32.8"
"Leclerc, José",600917,2024,"66.2",288,56,7,89,32,30.9,11.1,".323",".320","4.32","4",7.4,30.7,36,37.4,29.4,24.5,8.6,"1204","57.6","32.2","10.2"
"Gilbert, Logan",669302,2024,"208.2",803,148,26,220,37,27.4,4.6,".236",".237","3.23","4",4.4,39.3,31.7,45.2,24.4,23.8,6.6,"3041","42.8","43.8","13.4"
"Matsui, Yuki",673513,2024,"62.2",257,46,8,69,27,26.8,10.5,".284",".248","3.73","0",3.1,37.3,31.9,37.9,31.1,20.5,10.6,"1049","41.1","34.4","24.5"
"Bazardo, Eduard",660825,2024,"27.2",108,20,2,33,9,30.6,8.3,".271",".286","4.88","0",1.5,33.3,29,56.1,24.2,13.6,6.1,"441","46.3","46.7","7"
"Snider, Collin",676092,2024,"41.2",169,36,5,47,13,27.8,7.7,".290",".298","1.94","0",4.6,36.7,30.2,32.1,29.4,27.5,11,"676","62.4","37.6",
"Nelson, Ryne",669194,2024,"150.2",630,155,17,126,34,20,5.4,".308",".309","4.24","5",2.6,41.6,18.2,42.5,24.1,27.6,5.8,"2406","74.1","16","9.9"
"Estrada, Jeremiah",669093,2024,"61.0",252,42,4,94,23,37.3,9.1,".259",".292","2.95","0",3,37.3,36,35.1,31.3,25.4,8.2,"1003","56.5","23.6","19.8"
"Stratton, Chris",608717,2024,"58.1",257,53,5,44,33,17.1,12.8,".348",".281","5.55","3",7.9,37.9,20.6,45.2,23.7,25.4,5.6,"994","47","43.1","10"
"Little, Luke",681432,2024,"26.0",109,15,1,28,18,25.7,16.5,".339",".241","3.46","4",6.8,40.7,26.8,71.2,16.9,8.5,3.4,"438","72.4","26.3","1.4"
"Blackburn, Paul",621112,2024,"75.1",316,76,12,59,21,18.7,6.6,".317",".291","4.66","3",3.9,35.6,23.5,45.9,20.6,27,6.4,"1212","55.1","26.8","18.1"
"Greene, Hunter",668881,2024,"150.1",611,96,12,169,57,27.7,9.3,".283",".239","2.75","19",3.8,32.5,29.7,35,31.7,20.8,12.6,"2563","55.2","36.4","8.3"
"Weems, Jordan",607179,2024,"41.2",196,49,7,35,24,17.9,12.2,".383",".328","6.70","2",6.7,43,20.3,40.7,28.9,21.5,8.9,"733","61.5","35.7","2.7"
"Peralta, Freddy",642547,2024,"173.2",725,143,26,200,68,27.6,9.4,".307",".281","3.68","10",5.1,36.9,31.1,37.4,29.5,23.5,9.6,"3066","53.9","28.6","17.5"
"Varland, Louis",686973,2024,"49.2",238,68,12,49,16,20.6,6.7,".371",".359","7.61","4",3.6,45,23.2,43.2,27.2,27.2,2.4,"901","46.3","43.3","10.4"
"Gaddis, Hunter",683769,2024,"74.2",278,43,4,66,14,23.7,5,".219",".205","1.57","4",2.1,36.6,25,37.6,31.4,20.6,10.3,"1075","38.3","44.8","16.8"
"Grove, Michael",675627,2024,"51.0",216,46,6,54,16,25,7.4,".316",".301","5.12","6",0.7,33.8,26.6,45.3,22.3,23,9.4,"827","39.9","60.1",
"Ryan, Joe",657746,2024,"135.0",538,110,19,147,23,27.3,4.3,".257",".265","3.60","5",3.3,36.6,26.6,36.4,29.2,22.6,11.8,"2106","54.5","23.3","22.2"
"Ferguson, Tyler",621053,2024,"51.1",207,32,4,62,24,30,11.6,".282",".246","3.68","2",3.4,38.7,26.8,37.8,31.1,21.8,9.2,"819","73","24.5","2.4"
"Ginn, J.T.",669372,2024,"34.0",142,36,4,29,9,20.4,6.3,".331",".327","4.24","2",2,45.1,28.3,47.1,18.6,26.5,7.8,"515","54.6","30.9","14.6"
"Beeks, Jalen",656222,2024,"70.0",312,77,6,55,27,17.6,8.7,".346",".326","4.50","3",7,33,23.2,44.9,23.3,22.9,8.8,"1186","73.4","1","25.5"
"Nicolas, Kyle",693312,2024,"54.2",244,51,4,55,32,22.5,13.1,".357",".315","3.95","4",2,40.5,28.2,43.1,26.1,26.8,3.9,"950","55.1","44.9",
"Kimbrel, Craig",518886,2024,"52.1",232,40,7,73,31,31.5,13.4,".329",".287","5.33","5",1.6,43.1,30.9,31.7,29.3,30.1,8.9,"963","65.7","33.7","0.5"
"Lugo, Seth",607625,2024,"206.2",836,177,16,181,48,21.7,5.7,".281",".278","3.00","9",5.4,39,22.5,44.8,25.8,24.9,4.5,"3112","50.7","39.7","9.6"
"Stroman, Marcus",573186,2024,"154.2",675,167,19,113,60,16.7,8.9,".349",".312","4.31","8",3.4,40.2,20.4,49.9,23.3,22.1,4.7,"2657","56.5","32.4","11"
"Green, Chad",643338,2024,"53.1",210,41,8,46,14,21.9,6.7,".271",".236","3.21","2",4.7,45.9,23.3,36.5,33.1,21.6,8.8,"840","60.7","39.3",
"Manning, Matt",666159,2024,"27.2",123,31,3,23,12,18.7,9.8,".350",".329","4.88","0",2.3,35.2,23.6,30.7,36.4,25,8,"438","48.2","47.7","4.1"
"Joyce, Ben",690829,2024,"34.2",142,26,1,33,14,23.2,9.9,".310",".278","2.08","4",4.4,37.4,29,59.3,15.4,20.9,4.4,"541","81","15.2","3.9"
"Tonkin, Michael",543859,2024,"79.1",340,70,6,85,30,25,8.8,".318",".303","3.63","8",4.6,35,23.7,40.1,26.3,28.1,5.5,"1419","54.9","45.1",
"Henry, Tommy",674072,2024,"38.1",182,49,9,30,18,16.5,9.9,".392",".333","7.04","4",1.5,46.2,16.7,43.8,28.5,23.1,4.6,"706","51.1","31.3","17.6"
"Chafin, Andrew",605177,2024,"56.1",246,52,5,70,31,28.5,12.6,".341",".338","3.51","1",2.8,34,34.5,36.8,27.8,29.9,5.6,"967","54.2","45.8",
"Leiter, Jack",683004,2024,"35.2",173,44,7,31,17,17.9,9.8,".374",".327","8.83","3",4.1,44.6,27.9,38.8,32.2,22.3,6.6,"669","53.7","40.5","5.8"
"Flexen, Chris",623167,2024,"160.0",707,180,24,123,63,17.4,8.9,".349",".318","4.95","2",4.6,37.4,22.7,36.2,27.6,26.6,9.6,"2797","63.3","21","15.7"
"Lovelady, Richard",663992,2024,"34.1",147,34,3,26,11,17.7,7.5,".322",".298","4.46","2",7.4,46.3,23.6,51.9,19.4,21.3,7.4,"528","54","46",
"Cimber, Adam",643256,2024,"24.1",107,20,1,19,14,17.8,13.1,".377",".288","7.03","6",2.9,35.3,16.3,44.1,22.1,29.4,4.4,"416","67.3","32.7",
"Lynch IV, Daniel",663738,2024,"43.1",175,29,6,39,15,22.3,8.6,".274",".207","3.32","4",4.3,47.9,28.3,46.2,28.2,20.5,5.1,"631","46","32.8","21.2"
"Rogers, Taylor",573124,2024,"60.0",249,53,7,64,22,25.7,8.8,".309",".299","2.40","2",6.2,32.9,23.3,46,23.6,21.7,8.7,"1082","52.8","47.2",
"Alexander Jr., Scott",518397,2024,"38.2",160,31,3,31,15,19.4,9.4,".304",".262","2.56","2",4.5,44.6,19.8,60.7,17,21.4,0.9,"566","64.5","22.6","12.9"
"Paddack, Chris",663978,2024,"88.1",384,102,14,79,21,20.6,5.5,".323",".327","4.99","1",5.3,43.1,24,38.5,25.8,29,6.7,"1460","42.9","31.2","25.9"
"Wrobleski, Justin",680736,2024,"36.1",154,34,9,26,16,16.9,10.4,".331",".245","5.70","1",3.6,36.9,22.3,31.5,29.7,28.8,9.9,"592","61.5","33.3","5.2"
"Chirinos, Yonny",630023,2024,"30.0",144,43,7,25,13,17.4,9,".410",".375","6.30","3",3.9,35,20.7,36.9,30.1,21.4,11.7,"515","46.2","39","14.8"
"Pearson, Nate",663878,2024,"66.1",285,67,12,74,21,26,7.4,".319",".314","4.48","3",3.7,45.5,27.8,36.9,28.3,26.2,8.6,"1059","47.7","52.2","0.1"
"Strahm, Matt",621381,2024,"62.2",237,36,4,79,11,33.3,4.6,".224",".234","1.87","6",3.5,37.6,26.7,31.9,34.8,22.7,10.6,"981","80.5","19.5",
"Lynn, Lance",458681,2024,"117.1",511,113,16,109,44,21.3,8.6,".316",".288","3.84","4",5.6,39.3,24.1,36.4,27.7,27.1,8.8,"2039","86.2","7.5","6.3"
"Jiménez, Dany",666204,2024,"25.2",117,21,6,25,19,21.4,16.2,".350",".227","4.91","1",2.8,31.9,29.3,33.3,40.3,15.3,11.1,"450","37.6","58.4","4"
"Gray, Jon",592351,2024,"102.2",439,107,11,86,28,19.6,6.4,".308",".307","4.47","0",4.3,42.2,23.8,40.6,26.8,25.8,6.8,"1620","44.4","48.5","7.1"
"Vásquez, Randy",681190,2024,"98.0",431,119,13,62,29,14.4,6.7,".360",".333","4.87","6",5.1,39.6,18.9,39,21.9,30.3,8.7,"1687","57.9","29.7","12.4"
"Nastrini, Nick",680897,2024,"35.2",174,32,7,26,36,14.9,20.7,".397",".240","7.07","1",3.6,31.5,28.8,32.4,36,18,13.5,"734","45.4","44.8","9.8"
"Rodriguez, Grayson",680570,2024,"116.2",491,109,15,130,36,26.5,7.3,".305",".308","3.86","5",4.1,39.7,30,40.6,26.9,26.3,6.3,"1879","47.7","31.3","21"
"Díaz, Edwin",621242,2024,"53.2",216,36,7,84,20,38.9,9.3,".273",".284","3.52","3",5.5,30.3,38.1,44,22.9,19.3,13.8,"912","52.1","47.9",
"Cousins, Jake",664776,2024,"38.0",155,20,5,53,20,34.2,12.9,".290",".208","2.37","5",5.2,33.8,35.8,42.9,23.4,23.4,10.4,"644","34.3","65.7",
"Rasmussen, Drew",656876,2024,"28.2",116,25,0,35,6,30.2,5.2,".267",".333","2.83","0",9.3,36,31.4,53.3,24,18.7,4,"459","94.6","5.4",
"Sims, Lucas",608371,2024,"49.1",215,41,8,49,30,22.8,14,".341",".264","4.38","2",9,31.3,25.8,28.4,33.6,23.1,14.9,"885","46.9","52.9","0.2"
"Scott, Christian",681035,2024,"47.1",197,45,8,39,12,19.8,6.1,".303",".276","4.56","2",4.2,35.7,21.6,34.3,32.2,19.6,14,"787","52.9","36.7","10.4"
"Birdsong, Hayden",806185,2024,"72.0",315,57,11,88,43,27.9,13.7,".332",".275","4.75","4",6.1,50,29.8,41.1,33.3,22.2,3.3,"1388","44.6","37","18.4"
"Diaz, Yilber",700270,2024,"28.1",119,27,3,19,12,16,10.1,".328",".282","3.81","0",3.4,45.5,20.1,36.4,26.1,30.7,6.8,"469","58","41.6","0.4"
